param n:= 102; 
param m:= 4; 
param t_max:= 85.0; 
param: utility:= 
2  36.06 47.17 0.0 52.77 8.6 69.35 63.03 79.81 38.95 34.01 49.0 42.54 52.63 29.97 36.4 40.0 15.0 55.0 60.42 69.46 30.41 32.02 40.31 47.43 49.5 68.01 18.03 11.18 26.93 40.31 34.93 57.01 67.05 47.04 50.99 50.0 44.91 59.08 42.76 31.62 24.08 28.32 47.01 61.4 72.34 68.26 12.0 63.03 13.6 8.49 37.48 38.05 43.05 58.0 52.01 41.73 41.59 35.51 39.66 34.0 39.22 46.17 23.32 39.05 57.01 58.9 25.0 55.9 60.83 31.62 18.03 38.08 60.53 76.38 38.08 25.0 13.15 31.78 32.06 68.25 53.34 47.2 19.7 7.28 24.04 47.8 69.86 82.37 45.69 54.08 16.28 12.04 47.38 32.02 51.11 55.23 66.48 42.38 37.12 39.4 40.82 36.06 
3  17.46 27.2 52.77 0.0 49.41 23.35 18.0 29.68 29.73 28.18 24.08 33.54 43.42 34.13 25.5 25.0 40.0 25.3 8.06 17.03 25.5 27.02 44.94 38.28 16.28 17.89 34.93 44.27 26.08 12.65 18.03 12.04 17.46 22.0 34.13 53.71 42.94 28.65 16.76 21.84 34.71 26.48 33.84 9.22 39.82 27.66 59.2 30.53 39.4 44.78 20.59 23.77 26.31 16.76 22.67 17.72 30.87 28.64 26.57 31.58 36.4 10.44 35.23 22.8 11.18 22.85 47.01 34.06 19.1 38.01 46.69 34.48 34.54 30.08 33.84 28.46 46.32 40.61 49.65 29.27 18.97 9.85 43.19 45.65 40.01 22.8 17.46 29.68 7.81 7.21 37.34 41.79 30.0 29.15 29.0 5.0 15.0 36.67 31.32 33.24 28.23 17.46 
4  33.97 48.47 8.6 49.41 0.0 68.12 61.72 77.79 40.8 27.29 42.3 45.12 56.32 32.56 37.16 33.38 9.43 48.26 56.6 66.4 25.08 32.7 45.04 50.64 48.83 65.8 17.0 15.13 23.43 37.54 31.4 52.0 62.24 40.61 43.29 55.44 49.04 59.93 37.34 29.83 17.26 27.78 49.48 58.41 65.03 61.98 9.9 56.08 13.6 11.05 31.95 31.78 36.12 57.01 52.35 41.05 43.68 37.0 40.85 36.14 42.43 41.59 25.5 39.36 55.17 58.83 30.81 57.87 55.08 23.54 9.43 30.27 53.08 75.29 40.79 23.85 18.68 36.0 38.08 68.26 47.3 45.28 11.4 7.0 28.0 48.3 65.86 79.06 41.88 49.65 16.76 14.04 40.01 25.32 52.55 52.5 62.18 45.54 39.29 41.98 42.38 33.97 
5  34.21 26.93 69.35 23.35 68.12 0.0 6.4 12.17 34.54 50.92 47.04 34.93 38.21 42.94 34.13 48.27 59.2 47.17 22.36 15.0 46.96 38.01 46.53 36.06 20.0 8.06 51.62 59.03 45.22 31.38 38.08 32.25 29.97 45.18 57.01 51.09 42.11 18.11 40.02 38.29 55.95 41.04 32.25 16.12 57.94 44.38 77.99 50.45 55.87 60.88 43.32 46.84 49.65 11.4 19.92 27.66 33.53 36.24 32.2 38.91 39.29 33.73 47.43 31.06 13.42 13.15 55.54 26.17 38.08 60.75 67.42 57.72 55.73 7.21 37.95 44.55 59.64 46.82 55.08 10.0 41.05 23.02 64.14 62.94 50.12 23.77 23.02 22.14 30.36 29.0 53.08 57.38 53.15 51.62 25.18 18.44 25.5 37.66 36.77 36.69 32.31 34.21 
6  27.8 22.09 63.03 18.0 61.72 6.4 0.0 17.46 29.12 44.92 42.05 30.15 35.17 37.16 28.18 42.58 52.8 42.76 18.79 14.76 40.72 31.91 42.05 32.14 13.89 8.25 45.25 52.8 38.83 25.06 31.76 28.16 27.8 40.0 52.09 47.68 38.05 15.65 34.37 31.89 49.65 34.71 28.02 12.53 55.01 41.68 71.59 46.82 49.52 54.56 37.36 41.0 44.18 5.39 15.03 21.4 28.44 30.46 26.57 33.24 34.37 28.16 41.34 25.06 7.28 9.49 49.98 23.41 34.54 54.71 61.06 51.97 51.66 13.6 32.76 38.18 53.54 41.48 50.01 11.7 36.5 16.64 57.8 56.57 44.28 18.44 22.02 25.08 24.52 24.33 46.75 51.09 48.0 45.54 21.1 13.0 23.43 33.06 31.32 31.58 26.93 27.8 
7  43.93 39.05 79.81 29.68 77.79 12.17 17.46 0.0 46.49 57.8 50.96 47.07 50.04 54.63 45.62 54.13 68.59 49.65 25.3 14.32 55.0 49.24 58.69 48.17 31.3 12.04 61.85 69.89 54.45 40.31 46.75 34.93 29.02 49.65 60.42 63.01 54.23 30.0 46.07 48.27 64.2 51.61 44.41 20.59 56.72 43.29 87.69 51.0 66.22 71.4 50.25 53.24 54.78 22.85 32.02 38.59 45.61 47.93 44.01 50.7 51.42 39.82 58.67 42.49 22.8 25.32 67.42 38.01 39.12 67.6 76.06 63.56 57.08 8.94 50.0 54.82 70.83 58.82 67.19 20.4 44.15 32.65 72.62 73.11 61.74 35.74 21.02 12.73 37.44 33.24 63.6 68.01 57.28 58.83 37.34 25.61 25.02 49.82 48.7 48.76 44.27 43.93 
8  17.8 8.49 38.95 29.73 40.8 34.54 29.12 46.49 0.0 38.08 45.34 5.39 18.03 9.22 5.83 39.96 34.23 49.52 37.11 41.01 31.02 9.06 15.23 11.7 16.03 36.5 24.33 27.78 24.74 21.26 23.85 40.71 47.13 42.52 53.82 24.84 14.14 20.52 34.71 17.46 36.35 15.13 9.0 34.13 67.01 56.44 49.77 56.85 27.2 30.87 33.29 37.22 43.27 23.77 14.76 12.08 3.0 4.0 3.16 5.0 6.71 32.02 15.65 7.21 26.02 21.95 21.02 17.09 47.51 45.35 44.18 46.62 58.69 40.71 4.12 19.03 27.02 12.37 21.1 30.61 44.05 19.92 42.01 34.18 16.28 10.77 45.4 53.34 28.02 35.78 24.04 27.31 48.83 37.34 12.21 28.44 44.15 7.81 2.24 3.61 2.24 17.8 
9  21.38 41.98 34.01 28.18 27.29 50.92 44.92 57.8 38.08 0.0 15.03 43.46 56.08 35.0 32.31 6.08 19.03 21.02 33.42 44.41 7.21 29.53 50.22 49.77 36.01 46.07 21.95 31.02 14.21 21.02 15.13 26.4 36.62 13.34 18.36 61.29 51.48 50.01 12.04 20.62 10.05 23.85 46.49 37.22 38.47 34.71 35.74 29.02 24.7 28.86 7.62 5.0 9.06 41.77 42.05 30.27 40.85 34.44 36.06 35.85 43.42 18.03 30.41 32.28 37.64 46.17 42.8 51.79 28.23 9.85 21.02 8.54 26.93 57.94 40.71 21.26 34.93 41.87 48.84 54.74 20.25 29.27 17.46 27.17 36.12 39.32 41.73 55.9 20.62 25.5 25.06 27.86 13.93 2.0 45.71 32.7 37.54 45.62 38.01 41.15 38.28 21.38 
10  27.59 46.65 49.0 24.08 42.3 47.04 42.05 50.96 45.34 15.03 0.0 50.45 62.43 45.0 39.62 9.0 34.0 6.0 25.71 36.69 19.65 38.29 59.46 56.4 37.7 40.45 35.44 45.12 26.0 24.41 22.02 16.16 25.0 2.83 10.05 70.01 59.46 51.55 10.63 29.21 25.08 33.84 52.43 31.26 24.04 19.92 50.45 14.14 38.83 43.42 13.42 11.18 6.32 40.61 44.38 34.67 47.63 42.43 42.64 44.6 51.62 14.87 42.06 38.42 35.23 46.32 55.01 55.46 14.87 21.47 35.44 15.0 13.6 53.34 48.8 32.65 48.76 52.2 60.21 53.34 7.21 30.08 32.02 42.05 47.89 42.94 31.76 46.14 19.31 18.11 38.6 41.98 6.32 17.03 49.65 29.07 27.29 53.15 45.97 48.84 44.82 27.59 
11  23.02 8.06 42.54 33.54 45.12 34.93 30.15 47.07 5.39 43.46 50.45 0.0 12.65 12.65 11.18 45.28 39.05 54.45 40.5 43.19 36.4 14.32 12.04 6.32 18.44 38.01 29.07 31.38 30.08 26.17 29.15 44.94 50.7 47.63 59.08 20.25 9.43 18.87 39.82 22.85 41.59 20.4 4.47 36.88 71.7 60.75 53.76 61.62 31.58 34.79 38.59 42.54 48.55 25.02 15.13 16.4 2.83 9.22 7.81 9.06 4.47 36.8 19.65 12.04 28.28 21.84 22.02 13.6 51.87 50.7 49.04 52.0 63.7 40.5 4.47 24.19 30.02 12.81 20.25 29.53 48.84 23.71 47.01 38.33 18.87 12.04 48.27 55.01 32.65 39.96 28.44 31.32 54.08 42.72 10.3 31.62 47.43 3.16 6.0 3.16 5.66 23.02 
12  35.36 16.28 52.63 43.42 56.32 38.21 35.17 50.04 18.03 56.08 62.43 12.65 0.0 24.0 23.77 57.71 51.04 66.07 49.4 49.65 49.04 26.93 13.6 6.32 27.2 43.42 41.05 41.77 42.72 38.01 41.59 55.32 59.68 59.64 71.34 13.04 8.06 20.1 51.87 35.47 54.13 32.98 10.0 44.72 82.73 71.06 64.33 72.86 43.05 45.54 51.0 55.01 60.9 31.02 21.47 27.8 15.23 21.84 20.12 21.21 14.0 48.27 31.02 24.19 35.78 25.71 29.07 12.04 62.37 63.32 61.03 64.62 75.43 42.05 16.12 36.67 39.56 20.88 24.21 30.07 60.21 33.97 59.21 49.37 28.64 20.62 55.95 60.02 43.93 50.33 40.01 42.3 66.37 55.36 14.76 40.5 55.95 11.05 18.44 15.3 17.89 35.36 
13  18.38 17.69 29.97 34.13 32.56 42.94 37.16 54.63 9.22 35.0 45.0 12.65 24.0 0.0 9.22 38.18 27.07 49.93 42.05 47.68 27.8 7.28 15.26 18.11 23.41 43.97 17.12 18.79 20.81 23.09 23.02 43.68 51.48 42.2 52.33 26.42 17.46 29.73 34.67 15.81 31.02 11.31 17.09 40.2 68.1 58.87 41.11 57.8 19.1 22.14 31.89 35.36 41.73 31.78 23.6 17.12 11.66 6.71 10.82 4.24 10.0 33.62 7.07 12.37 32.98 30.81 13.15 25.94 49.98 40.72 37.05 43.27 58.6 49.4 8.25 13.89 17.8 7.21 15.81 39.7 45.18 25.02 35.36 25.71 7.21 19.42 51.01 60.42 30.36 39.05 16.03 18.68 47.38 33.84 21.4 34.06 49.09 13.04 7.21 9.49 11.31 18.38 
14  12.04 11.4 36.4 25.5 37.16 34.13 28.18 45.62 5.83 32.31 39.62 11.18 23.77 9.22 0.0 34.13 29.83 43.93 33.24 38.47 25.3 4.47 20.25 17.46 14.32 34.79 20.25 25.5 19.24 15.81 18.03 35.85 42.95 36.8 48.01 30.41 19.85 22.83 29.0 11.7 31.06 10.05 14.32 31.06 61.61 51.43 46.53 51.4 23.71 28.02 27.46 31.38 37.44 22.83 15.62 8.0 8.54 3.16 4.0 6.08 12.04 26.63 13.45 3.16 23.77 22.63 22.36 21.21 42.49 39.81 39.62 40.85 53.04 40.8 9.22 14.14 25.61 15.13 24.19 31.89 38.6 16.03 37.22 30.89 16.16 11.4 42.01 51.2 22.83 31.02 20.59 24.41 43.01 31.62 15.52 25.0 40.31 13.6 6.4 9.22 6.08 12.04 
15  22.36 42.72 40.0 25.0 33.38 48.27 42.58 54.13 39.96 6.08 9.0 45.28 57.71 38.18 34.13 0.0 25.0 15.0 29.15 40.31 11.18 32.02 53.15 51.48 35.36 42.72 26.93 36.4 18.03 20.62 16.12 21.21 31.24 7.28 14.14 64.03 53.82 49.5 8.25 22.8 16.12 26.87 47.85 33.62 32.76 28.64 41.76 23.09 30.08 34.53 6.71 2.83 3.61 40.05 41.77 30.68 42.54 36.62 37.59 38.42 45.8 14.56 34.41 33.54 35.36 45.04 47.17 52.2 22.36 14.14 26.93 9.49 21.54 55.08 43.01 25.0 40.16 45.28 52.8 53.08 14.32 28.07 23.41 33.06 40.22 39.56 36.88 51.22 18.11 21.1 30.08 33.24 9.22 8.06 46.17 29.83 32.56 47.71 40.22 43.27 39.82 22.36 
16  25.0 41.23 15.0 40.0 9.43 59.2 52.8 68.59 34.23 19.03 34.0 39.05 51.04 27.07 29.83 25.0 0.0 40.0 47.17 57.01 15.81 25.5 41.23 45.0 40.31 56.57 10.0 14.14 14.14 28.28 22.02 42.72 52.92 32.06 36.4 52.2 44.41 52.2 28.16 21.1 9.22 19.92 43.19 49.04 57.43 53.34 19.21 48.04 8.94 10.82 22.8 23.09 28.07 48.26 44.38 32.65 37.22 30.27 33.73 30.02 37.05 32.2 20.22 31.62 46.1 50.54 29.15 50.99 46.1 18.03 10.0 23.77 45.71 66.4 35.0 15.81 18.38 32.02 36.24 59.94 38.47 36.24 8.54 8.25 24.35 40.5 56.44 69.63 32.45 40.25 11.4 11.4 32.56 17.03 45.35 43.19 52.77 40.01 33.06 36.01 35.51 25.0 
17  32.02 50.0 55.0 25.3 48.26 47.17 42.76 49.65 49.52 21.02 6.0 54.45 66.07 49.93 43.93 15.0 40.0 0.0 25.0 35.36 25.5 43.01 64.03 60.21 40.31 40.0 41.23 50.99 31.62 28.28 26.93 15.0 21.93 8.25 11.18 74.33 63.66 53.71 15.26 34.13 31.06 38.95 56.08 31.06 18.38 14.32 56.29 8.25 44.72 49.37 18.97 17.12 12.17 42.06 47.01 38.29 51.62 46.86 46.67 49.2 55.97 17.8 47.42 42.43 36.4 48.1 60.42 58.31 11.18 26.93 41.23 20.12 9.43 53.0 53.15 38.08 54.57 57.14 65.37 54.34 6.32 32.76 37.85 48.04 53.23 46.04 29.41 43.46 22.2 18.44 44.38 47.85 10.0 23.02 52.7 30.08 25.0 57.28 50.33 53.08 48.8 32.02 
18  25.5 33.54 60.42 8.06 56.6 22.36 18.79 25.3 37.11 33.42 25.71 40.5 49.4 42.05 33.24 29.15 47.17 25.0 0.0 11.18 32.02 35.0 52.2 44.72 22.36 15.0 42.72 52.2 33.54 20.62 25.5 10.0 10.3 24.35 35.36 60.42 49.77 32.56 21.4 29.83 41.11 34.53 40.25 6.32 36.24 23.02 66.29 28.16 47.17 52.55 26.17 28.6 29.55 19.85 28.02 25.32 37.95 36.35 33.96 39.32 43.68 15.56 43.29 30.41 14.14 26.25 55.0 39.05 15.81 43.01 53.15 38.47 33.38 28.0 41.23 36.4 54.34 48.37 57.43 30.46 19.1 17.26 49.58 53.23 48.04 29.07 9.49 22.67 14.76 8.06 45.22 49.65 32.02 34.71 34.67 8.94 7.07 43.66 38.83 40.52 35.44 25.5 
19  33.54 35.36 69.46 17.03 66.4 15.0 14.76 14.32 41.01 44.41 36.69 43.19 49.65 47.68 38.47 40.31 57.01 35.36 11.18 0.0 42.43 41.23 55.23 46.1 25.0 7.07 51.48 60.42 43.01 29.15 35.0 20.62 15.52 35.47 46.1 61.85 51.79 30.41 32.45 38.01 51.62 42.15 41.77 8.06 43.68 30.08 76.22 37.12 55.95 61.29 37.01 39.66 40.72 18.68 28.64 30.59 41.05 41.3 38.05 44.28 47.04 26.4 50.29 35.36 15.0 24.17 60.83 38.08 25.0 54.08 63.64 49.65 43.0 18.68 45.0 44.72 62.03 53.15 62.07 24.76 29.83 23.09 60.11 62.43 54.34 31.14 8.06 13.0 24.76 19.24 53.67 58.14 43.01 45.61 35.17 14.32 11.18 46.27 43.05 44.01 39.0 33.54 
20  15.0 35.36 30.41 25.5 25.08 46.96 40.72 55.0 31.02 7.21 19.65 36.4 49.04 27.8 25.3 11.18 15.81 25.5 32.02 42.43 0.0 22.36 43.01 42.72 30.41 43.01 15.81 25.5 7.07 15.81 9.22 26.93 37.16 17.26 25.0 54.08 44.29 44.1 12.37 13.6 9.22 16.64 39.56 34.71 43.68 38.01 34.48 33.73 19.24 24.02 7.07 8.54 14.76 37.0 36.06 24.0 33.84 27.31 29.12 28.65 36.24 16.64 23.43 25.5 33.54 40.79 36.06 45.28 30.41 15.0 21.21 15.65 32.7 54.12 33.54 14.14 29.12 34.71 41.87 49.73 23.02 24.35 17.69 23.19 29.21 33.02 41.05 54.67 17.69 24.7 18.97 22.36 20.25 6.32 39.2 29.41 37.22 38.48 30.87 34.01 31.32 15.0 
21  11.18 15.81 32.02 27.02 32.7 38.01 31.91 49.24 9.06 29.53 38.29 14.32 26.93 7.28 4.47 32.02 25.5 43.01 35.0 41.23 22.36 0.0 21.21 20.62 18.03 38.08 15.81 21.21 15.81 15.81 16.28 36.4 44.28 35.47 46.1 32.02 21.95 27.29 27.8 9.22 27.29 6.08 18.03 33.54 61.06 51.62 42.06 50.77 19.24 23.6 25.5 29.21 35.47 26.63 20.0 10.77 12.04 5.1 8.25 6.4 13.89 26.4 9.43 7.07 26.93 26.91 20.0 25.5 42.72 36.4 35.36 38.01 51.86 44.82 11.18 10.0 21.63 14.32 23.09 36.24 38.08 18.25 33.06 26.42 13.15 15.81 44.1 54.12 23.09 31.78 16.12 20.0 41.11 28.64 19.92 27.29 42.01 16.16 8.54 11.7 10.05 11.18 
22  32.02 20.0 40.31 44.94 45.04 46.53 42.05 58.69 15.23 50.22 59.46 12.04 13.6 15.26 20.25 53.15 41.23 64.03 52.2 55.23 43.01 21.21 0.0 11.18 30.41 50.0 31.62 30.0 36.06 36.06 37.48 55.9 62.3 56.64 67.27 11.18 5.66 29.41 48.92 30.41 46.1 26.4 14.32 48.84 81.84 71.59 52.24 71.61 32.56 34.01 46.69 50.33 56.64 37.0 27.02 27.31 14.32 17.2 18.38 14.87 8.54 46.87 21.19 22.36 40.31 33.38 15.81 22.36 62.65 55.9 50.99 58.52 73.0 51.66 11.18 29.15 27.17 9.22 10.63 40.16 58.82 35.11 49.73 38.05 17.12 24.08 60.21 67.0 43.05 50.99 29.83 31.14 62.29 49.09 21.38 43.42 59.2 9.0 13.89 11.7 16.76 32.02 
23  29.15 11.18 47.43 38.28 50.64 36.06 32.14 48.17 11.7 49.77 56.4 6.32 6.32 18.11 17.46 51.48 45.0 60.21 44.72 46.1 42.72 20.62 11.18 0.0 22.36 40.31 35.0 36.4 36.4 32.02 35.36 50.0 55.01 53.6 65.19 15.81 6.08 18.44 45.8 29.15 47.85 26.68 4.47 40.5 77.16 65.8 58.94 67.18 37.22 40.02 44.78 48.76 54.71 27.46 17.46 21.93 8.94 15.52 13.89 15.03 8.25 42.45 25.18 18.03 31.62 23.0 25.0 11.18 57.01 57.01 55.0 58.31 69.53 40.79 10.0 30.41 34.54 16.12 21.4 29.12 54.45 28.6 53.08 43.74 23.41 15.65 51.87 57.22 38.18 45.0 34.13 36.67 60.21 49.04 11.05 35.78 51.48 5.1 12.17 9.06 11.66 29.15 
24  15.81 11.18 49.5 16.28 48.83 20.0 13.89 31.3 16.03 36.01 37.7 18.44 27.2 23.41 14.32 35.36 40.31 40.31 22.36 25.0 30.41 18.03 30.41 22.36 0.0 20.62 32.02 39.05 26.93 15.0 21.21 28.28 32.65 35.11 47.43 38.08 27.51 14.14 27.89 19.24 38.6 21.26 17.89 18.44 55.97 43.93 58.6 46.4 36.12 41.01 29.07 33.14 37.85 8.6 6.71 7.81 16.12 16.76 13.15 19.65 22.09 22.85 27.46 11.18 10.0 10.44 36.4 18.03 35.36 45.28 49.24 44.05 49.74 26.91 20.0 25.0 39.66 28.28 37.12 19.7 34.13 7.62 46.24 43.28 30.46 6.71 29.83 37.34 18.38 23.35 33.24 37.48 42.72 36.12 12.73 13.42 29.15 21.59 18.11 19.03 14.0 15.81 
25  32.02 30.0 68.01 17.89 65.8 8.06 8.25 12.04 36.5 46.07 40.45 38.01 43.42 43.97 34.79 42.72 56.57 40.0 15.0 7.07 43.01 38.08 50.0 40.31 20.62 0.0 50.0 58.31 42.43 28.28 34.71 25.0 21.93 38.83 50.25 55.9 46.17 23.77 34.54 36.4 52.2 39.96 36.12 9.22 49.98 36.4 75.69 42.76 54.41 59.64 38.47 41.63 43.68 13.0 23.02 27.31 36.12 37.36 33.73 40.26 42.11 28.23 47.42 31.62 11.18 17.72 57.01 31.62 30.41 55.9 64.03 52.2 48.26 13.0 40.31 43.01 59.48 48.84 57.56 17.69 34.06 20.81 60.61 61.22 50.92 26.08 15.0 17.0 25.55 22.36 51.87 56.3 46.69 47.01 29.27 13.6 17.46 41.0 38.64 39.2 34.37 32.02 
26  18.03 31.62 18.03 34.93 17.0 51.62 45.25 61.85 24.33 21.95 35.44 29.07 41.05 17.12 20.25 26.93 10.0 41.23 42.72 51.48 15.81 15.81 31.62 35.0 32.02 50.0 0.0 10.0 10.0 22.36 17.46 40.31 50.01 32.98 40.31 42.72 34.53 42.95 27.07 13.6 15.0 10.82 33.24 43.42 59.48 53.15 26.63 49.48 4.47 9.85 22.36 24.35 30.46 40.36 35.36 24.21 27.29 20.4 24.04 20.02 27.07 29.27 10.44 22.36 39.05 41.88 21.21 41.23 45.0 25.0 20.0 29.07 48.47 58.73 25.0 7.07 13.34 22.47 27.8 51.31 38.21 29.21 18.25 11.31 15.26 31.3 52.2 64.41 28.16 36.88 3.16 7.07 35.78 20.25 35.74 37.22 49.04 30.02 23.09 26.02 25.71 18.03 
27  26.93 36.06 11.18 44.27 15.13 59.03 52.8 69.89 27.78 31.02 45.12 31.38 41.77 18.79 25.5 36.4 14.14 50.99 52.2 60.42 25.5 21.21 30.0 36.4 39.05 58.31 10.0 0.0 20.0 31.62 27.29 50.25 59.84 42.76 49.24 40.31 34.23 48.01 37.05 22.47 22.47 18.36 35.85 52.39 69.12 63.13 22.56 59.23 6.32 4.12 32.25 33.96 39.85 47.63 41.11 31.4 30.41 24.41 28.6 22.83 28.16 39.2 12.21 28.28 47.17 48.1 15.81 44.72 55.0 32.02 22.36 37.22 57.87 65.95 26.93 15.81 4.24 21.1 23.09 57.38 48.17 37.59 22.2 8.25 13.15 36.88 61.68 73.41 37.85 46.69 7.07 3.16 44.94 29.15 39.96 46.1 58.69 31.32 25.94 28.23 29.68 26.93 
28  11.18 30.0 26.93 26.08 23.43 45.22 38.83 54.45 24.74 14.21 26.0 30.08 42.72 20.81 19.24 18.03 14.14 31.62 33.54 43.01 7.07 15.81 36.06 36.4 26.93 42.43 10.0 20.0 0.0 14.14 8.06 30.41 40.26 23.41 32.02 47.17 37.58 39.81 17.12 8.06 12.04 9.85 33.54 35.0 49.98 43.19 33.3 39.85 14.14 19.42 12.65 15.26 21.63 34.48 31.78 19.65 27.66 20.88 23.19 21.93 29.55 19.42 16.4 20.0 32.02 37.34 29.15 40.0 35.0 20.62 22.36 22.47 39.36 52.43 26.93 7.07 23.19 27.66 34.83 46.62 28.28 22.2 19.31 19.7 22.2 28.28 42.95 55.76 18.79 27.2 13.04 17.03 27.2 13.04 34.01 29.07 39.56 31.95 24.35 27.51 25.32 11.18 
29  5.0 22.36 40.31 12.65 37.54 31.38 25.06 40.31 21.26 21.02 24.41 26.17 38.01 23.09 15.81 20.62 28.28 28.28 20.62 29.15 15.81 15.81 36.06 32.02 15.0 28.28 22.36 31.62 14.14 0.0 6.71 20.62 29.0 21.63 33.54 46.1 35.38 29.07 13.89 9.22 24.6 14.04 28.02 21.1 45.8 35.85 47.42 35.61 26.83 32.2 14.14 18.25 23.41 21.19 21.21 10.3 23.35 18.87 18.38 21.47 27.8 10.82 23.0 14.14 18.03 25.18 35.36 31.62 26.93 30.41 36.06 29.07 37.54 38.59 25.0 15.81 33.73 30.08 38.9 33.96 22.8 8.54 32.76 33.29 28.16 18.97 30.08 42.06 7.28 16.12 24.7 29.15 28.64 21.21 25.63 15.0 27.29 29.0 22.2 24.84 20.52 5.0 
30  6.32 26.93 34.93 18.03 31.4 38.08 31.76 46.75 23.85 15.13 22.02 29.15 41.59 23.02 18.03 16.12 22.02 26.93 25.5 35.0 9.22 16.28 37.48 35.36 21.21 34.71 17.46 27.29 8.06 6.71 0.0 23.02 32.56 19.21 30.0 48.17 37.8 35.01 11.66 7.21 17.89 12.08 31.78 27.02 45.18 36.88 41.23 34.89 21.84 27.2 9.43 13.42 19.42 27.86 27.0 15.13 26.42 20.62 21.47 22.63 29.83 12.0 20.88 17.46 24.7 31.58 33.84 36.67 28.28 24.08 29.41 23.54 35.61 45.28 27.02 12.04 30.02 30.23 38.47 40.52 22.47 15.23 26.08 27.73 26.57 24.19 34.93 47.71 10.77 19.42 20.22 24.52 25.0 15.0 30.59 21.21 31.62 31.62 24.21 27.2 23.71 6.32 
31  25.5 39.05 57.01 12.04 52.0 32.25 28.16 34.93 40.71 26.4 16.16 44.94 55.32 43.68 35.85 21.21 42.72 15.0 10.0 20.62 26.93 36.4 55.9 50.0 28.28 25.0 40.31 50.25 30.41 20.62 23.02 0.0 10.3 15.26 25.5 65.19 54.38 40.5 14.76 29.15 35.36 34.23 45.61 16.12 27.8 15.81 61.27 18.79 44.55 49.82 20.12 21.4 20.81 28.18 34.71 28.65 42.19 39.0 37.59 41.79 47.41 11.05 43.29 33.54 22.36 34.48 55.9 46.1 7.07 35.36 47.17 30.0 23.54 38.0 44.72 35.0 53.04 50.6 59.48 39.85 9.22 21.4 43.57 49.73 48.66 34.71 15.81 30.23 13.34 5.0 43.19 47.38 22.47 28.02 41.01 16.12 11.4 48.02 42.05 44.29 39.45 25.5 
